"realSum","room_type","room_shared","room_private","person_capacity","host_is_superhost","multi","biz","cleanliness_rating","guest_satisfaction_overall","bedrooms","dist","metro_dist","city","weekends"
614.44004405596,"Entire home/apt","False","False",2,"False",0,0,10,97,1,5.24892549662352,1.44732392542135,"Amsterdam",TRUE
493.989173482061,"Entire home/apt","False","False",2,"False",0,0,9,91,1,1.42514200716132,0.133104993720095,"Amsterdam",TRUE
602.020012654372,"Entire home/apt","False","False",2,"False",1,0,10,99,1,2.01331546224725,1.80424491428379,"Amsterdam",TRUE
675.837180418532,"Entire home/apt","False","False",4,"False",0,0,9,94,1,1.63242059725655,1.76049012653089,"Amsterdam",TRUE
399.550066786961,"Entire home/apt","False","False",2,"True",0,0,10,97,1,9.33553241962526,0.380476295334172,"Amsterdam",TRUE
368.617158390551,"Private room","False","True",2,"False",0,0,10,96,1,0.353096482090006,0.495742878297471,"Amsterdam",TRUE
209.031471890891,"Private room","False","True",2,"True",1,0,10,97,1,4.68770940786033,3.63202197616874,"Amsterdam",TRUE
209.031471890891,"Private room","False","True",2,"True",1,0,10,98,1,4.61248095931305,3.62593788837528,"Amsterdam",TRUE
640.45180793476,"Entire home/apt","False","False",2,"False",0,0,9,96,1,1.73261230702368,0.504428020565322,"Amsterdam",TRUE
165.912872308017,"Private room","False","True",2,"True",0,0,10,97,1,11.1959322159625,0.429202810419573,"Amsterdam",TRUE
209.031471890891,"Private room","False","True",2,"False",1,0,10,98,1,4.68689209951726,3.59589022002085,"Amsterdam",TRUE
934.08009748553,"Private room","False","True",4,"False",1,0,10,96,1,1.11989841969032,0.382395397083638,"Amsterdam",TRUE
234.574555339442,"Private room","False","True",2,"False",1,0,9,88,1,2.47889707314405,1.33344222588295,"Amsterdam",TRUE
227.310008670588,"Private room","False","True",2,"False",0,0,9,94,1,6.05896851366757,1.74814588483419,"Amsterdam",TRUE
489.302369179575,"Private room","False","True",2,"False",1,0,10,91,1,0.792250991641073,0.733846641708916,"Amsterdam",TRUE
410.564056897804,"Private room","False","True",2,"False",1,0,8,80,1,0.925002469962214,0.781812629671959,"Amsterdam",TRUE
987.040986103625,"Entire home/apt","False","False",4,"False",0,0,10,97,2,5.90206620315863,1.94054505297369,"Amsterdam",TRUE
217.702059850491,"Private room","False","True",2,"True",0,0,10,93,1,7.01789380641548,0.218242194037177,"Amsterdam",TRUE
946.500128887118,"Entire home/apt","False","False",4,"True",0,0,10,98,2,0.374285412877626,0.167833313030117,"Amsterdam",TRUE
1557.42506971621,"Entire home/apt","False","False",4,"True",0,0,9,98,2,0.750400684654726,0.808689009062205,"Amsterdam",TRUE
317.062311063202,"Private room","False","True",2,"True",0,0,10,99,1,3.40089425032456,1.51265819972575,"Amsterdam",TRUE
594.521125770393,"Entire home/apt","False","False",4,"False",0,0,10,97,3,10.0589484552076,0.220248292053868,"Amsterdam",TRUE
1290.51156468962,"Entire home/apt","False","False",4,"False",0,0,10,96,2,0.728649652287921,0.448982950123367,"Amsterdam",TRUE
1043.51697794859,"Entire home/apt","False","False",4,"True",0,0,9,96,2,2.84656631104351,0.726771616942892,"Amsterdam",TRUE
1044.68867902421,"Entire home/apt","False","False",2,"False",0,0,10,98,1,3.00304405670342,1.63445704293191,"Amsterdam",TRUE
310.969465469969,"Entire home/apt","False","False",2,"False",0,0,9,94,1,3.57139950091775,2.61973981313992,"Amsterdam",TRUE
295.26867105664,"Entire home/apt","False","False",2,"False",0,0,9,92,1,4.66543718975295,2.97748132566682,"Amsterdam",TRUE
414.313500339793,"Entire home/apt","False","False",2,"False",1,0,10,93,1,2.3743995932826,0.36291653648327,"Amsterdam",TRUE
307.22002202798,"Entire home/apt","False","False",2,"False",0,0,7,82,0,4.1570495481248,0.101229387696245,"Amsterdam",TRUE
3005.41325896937,"Entire home/apt","False","False",4,"False",0,0,9,95,4,1.61532470574009,1.40256120334721,"Amsterdam",TRUE
539.451175216179,"Entire home/apt","False","False",2,"False",0,0,10,98,1,3.78132149485937,0.920247008206228,"Amsterdam",TRUE
491.645771330818,"Entire home/apt","False","False",3,"True",0,0,10,98,1,2.31894984562184,0.129231479013284,"Amsterdam",TRUE
1376.74876385537,"Entire home/apt","False","False",4,"True",0,1,10,93,2,1.93070171163266,1.58582760376272,"Amsterdam",TRUE
415.485201415415,"Entire home/apt","False","False",4,"True",1,0,10,98,1,5.03921264666132,1.73047353548621,"Amsterdam",TRUE
467.040048742765,"Entire home/apt","False","False",2,"True",0,0,10,97,1,1.97469108558677,0.227901437870357,"Amsterdam",TRUE
630.375178684414,"Entire home/apt","False","False",4,"True",0,0,10,99,2,7.821224885989,0.350205131263562,"Amsterdam",TRUE
251.915731258641,"Private room","False","True",2,"True",0,0,10,95,1,3.59923528054705,2.46004965134689,"Amsterdam",TRUE
405.877252595318,"Private room","False","True",2,"True",0,0,10,97,1,1.49933861161542,0.231513300821196,"Amsterdam",TRUE
264.33576266023,"Private room","False","True",2,"False",0,0,10,97,0,3.71667060732251,1.55696273452472,"Amsterdam",TRUE
897.054343495887,"Entire home/apt","False","False",2,"True",0,0,10,100,1,1.81052522532584,0.520318068073653,"Amsterdam",TRUE
295.034330841516,"Private room","False","True",2,"False",0,0,9,90,1,0.653967424742484,0.351070816944725,"Amsterdam",TRUE
467.040048742765,"Entire home/apt","False","False",2,"False",0,0,10,97,1,1.4071066505987,1.38140391255314,"Amsterdam",TRUE
744.733203665081,"Entire home/apt","False","False",2,"False",0,0,10,92,0,2.67806710227716,1.84411021159412,"Amsterdam",TRUE
275.349752771073,"Private room","False","True",2,"True",1,0,10,94,1,2.06159030519053,1.55818863019268,"Amsterdam",TRUE
568.978042321843,"Private room","False","True",4,"True",1,0,10,97,2,1.7922240119478,1.87486052614934,"Amsterdam",TRUE
424.155789375015,"Entire home/apt","False","False",2,"False",0,0,10,97,1,3.34262861025434,0.647111912630888,"Amsterdam",TRUE
675.837180418532,"Entire home/apt","False","False",2,"True",0,0,10,97,1,1.22657455856837,0.487345110350032,"Amsterdam",TRUE
